id,name,honorific_prefix,honorific_suffix,gender,birth_date,election,party_id,party_name,post_id,post_label,mapit_url,elected,email,twitter_username,facebook_page_url,party_ppc_page_url,facebook_personal_url,homepage_url,wikipedia_url,linkedin_url,image_url,proxy_image_url_template,image_copyright,image_uploading_user,image_uploading_user_notes,twitter_user_id,election_date,election_current,party_lists_in_use,party_list_position,old_person_ids,gss_code,parlparse_id,theyworkforyou_url,party_ec_id,favourite_biscuits,cancelled_poll,wikidata_id
990001,Adrienne Wallace,,,,,europarl.2019-05-23,,People Before Profit,EUR:south,Ireland South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990002,Aisling McNiffe,,,,,europarl.2019-05-23,,Non-party,EUR:dublin,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990003,Alex White,,,,,europarl.2019-05-23,,Labour,EUR:dublin,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990004,Alice Mary Higgins,,,,,europarl.2019-05-23,,Non-party,EUR:dublin,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990005,Allan Brennan,,,,,europarl.2019-05-23,,Non-party,EUR:south,Ireland South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990006,Andrew Doyle,,,,,europarl.2019-05-23,,Fine Gael,EUR:south,Ireland South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990007,Anne Rabbitte,,,,,europarl.2019-05-23,,Fianna Fail,EUR:midlands-northwest,Midlands / North-west,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990008,Barry Andrews,,,,,europarl.2019-05-23,,Fianna Fail,EUR:dublin,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990009,Ben Gilroy,,,,,europarl.2019-05-23,,Non-party,EUR:dublin,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990010,Billy Kelleher,,,,,europarl.2019-05-23,,Fianna Fail,EUR:south,Ireland South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990011,Breda Patricia Gardner,,,,,europarl.2019-05-23,,Non-party,EUR:south,Ireland South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990012,Brendan Smith,,,,,europarl.2019-05-23,,Fianna Fail,EUR:midlands-northwest,Midlands / North-west,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990013,Ciaran Cuffe,,,,,europarl.2019-05-23,,Green Party,EUR:dublin,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990014,Clare Daly,,,,,europarl.2019-05-23,,Independents 4 Change,EUR:dublin,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990015,Colleen Worthington,,,,,europarl.2019-05-23,,Non-party,EUR:south,Ireland South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990016,Cyril Brennan,,,,,europarl.2019-05-23,,People Before Profit,EUR:midlands-northwest,Midlands / North-west,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990017,Deirdre Clune,,,,,europarl.2019-05-23,,Fine Gael,EUR:south,Ireland South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990018,Diarmaid Mulcahy,,,,,europarl.2019-05-23,,Non-party,EUR:midlands-northwest,Midlands / North-west,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990019,Diarmuid Patrick O'Flynn,,,,,europarl.2019-05-23,,Non-party,EUR:south,Ireland South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990020,Dilip Mahapatra,,,,,europarl.2019-05-23,,Non-party,EUR:midlands-northwest,Midlands / North-west,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990021,Dolores Cahill,,,,,europarl.2019-05-23,,Non-party,EUR:south,Ireland South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990022,Dominic Hannigan,,,,,europarl.2019-05-23,,Labour,EUR:midlands-northwest,Midlands / North-west,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990023,Eamonn Murphy,,,,,europarl.2019-05-23,,Non-party,EUR:dublin,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990024,Eilis Ryan,,,,,europarl.2019-05-23,,Workers Party,EUR:dublin,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990025,Fidelma Healy Eames,,,,,europarl.2019-05-23,,Non-party,EUR:midlands-northwest,Midlands / North-west,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990026,Frances Fitzgerald,,,,,europarl.2019-05-23,,Fine Gael,EUR:dublin,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990027,Gary Gannon,,,,,europarl.2019-05-23,,Social Democrats,EUR:dublin,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990028,Gemma O'Doherty,,,,,europarl.2019-05-23,,Non-party,EUR:dublin,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990029,Gillian Brien,,,,,europarl.2019-05-23,,People Before Profit,EUR:dublin,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990030,Grace O'Sullivan,,,,,europarl.2019-05-23,,Green Party,EUR:south,Ireland South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990031,Hermann Kelly,,,,,europarl.2019-05-23,,Non-party,EUR:dublin,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990032,James Miller,,,,,europarl.2019-05-23,,Non-party,EUR:midlands-northwest,Midlands / North-west,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990033,Jan Van de Ven,,,,,europarl.2019-05-23,,Direct Democracy Ireland,EUR:south,Ireland South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990034,Joesph Sexton,,,,,europarl.2019-05-23,,Non-party,EUR:south,Ireland South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990035,Liadh Ni Riada,,,,,europarl.2019-05-23,,Sinn Fein,EUR:south,Ireland South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990036,Liam Minehan,,,,,europarl.2019-05-23,,Non-party,EUR:south,Ireland South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990037,Luke 'Ming' Flanagan,,,,,europarl.2019-05-23,,Non-party,EUR:midlands-northwest,Midlands / North-west,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990038,Lynn Boylan,,,,,europarl.2019-05-23,,Sinn Fein,EUR:dublin,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990039,Mairead McGuinness,,,,,europarl.2019-05-23,,Fine Gael,EUR:midlands-northwest,Midlands / North-west,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990040,Malcolm Byrne,,,,,europarl.2019-05-23,,Fianna Fail,EUR:south,Ireland South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990041,Maria Walsh,,,,,europarl.2019-05-23,,Fine Gael,EUR:midlands-northwest,Midlands / North-west,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990042,Mark Durkan,,,,,europarl.2019-05-23,,Fine Gael,EUR:dublin,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990043,Mark Mullan,,,,,europarl.2019-05-23,,Non-party,EUR:dublin,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990044,Matt Carthy,,,,,europarl.2019-05-23,,Sinn Fein,EUR:midlands-northwest,Midlands / North-west,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990045,Michael O'Dowd,,,,,europarl.2019-05-23,,Renua Ireland,EUR:midlands-northwest,Midlands / North-west,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990046,Mick Wallace,,,,,europarl.2019-05-23,,Independents 4 Change,EUR:south,Ireland South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990047,Olive O'Connor,,,,,europarl.2019-05-23,,Non-party,EUR:midlands-northwest,Midlands / North-west,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990048,Paddy Fitzgerald,,,,,europarl.2019-05-23,,Non-party,EUR:south,Ireland South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990049,Patrick Greene,,,,,europarl.2019-05-23,,Direct Democracy Ireland,EUR:midlands-northwest,Midlands / North-west,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990050,Peter Casey,,,,,europarl.2019-05-23,,Non-party,EUR:midlands-northwest,Midlands / North-west,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990051,Peter Madden,,,,,europarl.2019-05-23,,Non-party,EUR:south,Ireland South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990052,Peter O'Loughlin,,,,,europarl.2019-05-23,,Identity Ireland,EUR:south,Ireland South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990053,Rita Harrold,,,,,europarl.2019-05-23,,Socialist Party,EUR:dublin,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990054,Saoirse McHugh,,,,,europarl.2019-05-23,,Green Party,EUR:midlands-northwest,Midlands / North-west,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990055,Sean Kelly,,,,,europarl.2019-05-23,,Fine Gael,EUR:south,Ireland South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990056,Sheila Nunan,,,,,europarl.2019-05-23,,Labour,EUR:south,Ireland South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990057,Theresa Heaney,,,,,europarl.2019-05-23,,Non-party,EUR:south,Ireland South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990058,Tony Bosco Lowth,,,,,europarl.2019-05-23,,Non-party,EUR:dublin,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990059,Walter Ryan-Purcell,,,,,europarl.2019-05-23,,Non-party,EUR:south,Ireland South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
